published,impact,av-attack-vector,av-attack-complexity,av-privileges-required,av-user-interaction,av-scope,av-confidentiality,av-integrity,av-availability
1997-07-16T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-16T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-07-16T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-16T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-16T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-16T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-17T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-21T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-21T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-07-21T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-22T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-23T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-07-25T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-07-30T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-07-31T04:00:00.000,6.4,L,L,Null,Null,Null,P,P,P
1997-08-01T04:00:00.000,10.0,N,L,Null,Null,Null,C,C,C
1997-08-01T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-08-01T04:00:00.000,2.9,L,L,Null,Null,Null,P,N,N
1997-08-01T04:00:00.000,2.9,N,L,Null,Null,Null,N,N,P
1997-08-01T04:00:00.000,6.4,N,H,Null,Null,Null,P,P,P
1997-08-05T04:00:00.000,2.9,L,L,Null,Null,Null,P,N,N
1997-08-11T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-08-13T04:00:00.000,2.9,N,L,Null,Null,Null,N,P,N
1997-08-19T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-08-20T04:00:00.000,10.0,L,L,Null,Null,Null,C,C,C
1997-08-24T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
1997-08-24T04:00:00.000,2.9,N,L,Null,Null,Null,P,N,N
1997-09-01T04:00:00.000,6.4,N,L,Null,Null,Null,P,P,P
